,title,company,salary,summary
0,Front-End Developers,CareNexis,,"As a front-end developer, you will be responsible for building and maintaining the various user experiences that CareNexis operates."
1,Front-End Developer,Infosys Limited,,"You will play an important role in creating the high level design artifacts.You will also deliver high quality code deliverables for a module, lead validation…"
2,Sr. Front End Developer,"Amazon Web Services, Inc.",,"8+ years of professional front end development around the user experience.Providing deep software development knowledge with respect to front end architecture,…"
3,Senior Front-End Developer,Chainyard,,"We build proof of concepts to test our ideas, making sure we deliver modern, frictionless experiences using the latest tools like React, ES6, and SASS."
4,Senior Software Developer – Front End,DroneInsurance.com,"$70,000 - $95,000 a year",We’re looking for someone with a passion for programming and for writing beautiful code to work on projects that connect brands to insurance carriers in order…
5,Front-End Developer/Designer,CData Software,,"The candidate should be able to showcase a portfolio of websites or web apps that they have developed.BA/BS degree in information science, computer science,…"
6,Software Engineer - Front-End,Pearson,,"Develop front-end components with exceedingly clean, semantic markup, using technologies including HTML, CSS, Bootstrap, Javascript, jQuery and other tools."
7,"Front End Software Engineer- Raleigh, NC",Imperva,,"We are a cross-functional team that is responsible for delivering product improvements, testing, and maintaining our CI/CD pipelines."
8,WEB DEVELOPER INTERN,Sports Endeavors Inc.,,"Have flexibility to work across architecture - building both front end and backend ·.Work across the entire system architecture, from backend to front end, to…"
9,Senior Front End Developer with Drupal Experience,Makers365,,"Senior-level Front End development expertise and portfolio.Some Drupal 7 and 8 projects under your belt.Skilled use of Composer, Drush, Git, Jira, and Agile."
10,Web Developer Intern,Kompleks Creative,,"The intern web developer will utilize this curiosity to explore integrations with APIs, custom theme development and JavaScript plug-ins."
11,JavaScript Developer,Piper Companies,"$100,000 - $130,000 a year","You will work with our design and engineering team utilizing current technologies to plan, design and develop web applications."
12,JavaScript Developer (Part-Time),Relias,,"The developer will also be involved with simulation and serious game design and development as needed.In addition to unrivaled content, Relias offers pre-hire…"
13,JavaScript Developer (Part-Time),Relias LLC,,"The developer will also be involved with simulation and serious game design and development as needed.In addition to unrivaled content, Relias offers pre-hire…"
14,JavaScript Developer,SAS Institute Inc,,"You’ll work with a small group of experienced developers in a casual atmosphere, while enjoying the benefits of working within one of America’s most admired…"
15,Front-End Developer,Infosys Limited,,"You will play an important role in creating the high level design artifacts.You will also deliver high quality code deliverables for a module, lead validation…"
16,Front-End Developers,CareNexis,,"As a front-end developer, you will be responsible for building and maintaining the various user experiences that CareNexis operates."
17,Senior Software Developer – Front End,DroneInsurance.com,"$70,000 - $95,000 a year",We’re looking for someone with a passion for programming and for writing beautiful code to work on projects that connect brands to insurance carriers in order…
18,Senior Front-End Developer,Chainyard,,"We build proof of concepts to test our ideas, making sure we deliver modern, frictionless experiences using the latest tools like React, ES6, and SASS."
19,Front-End Developer/Designer,CData Software,,"The candidate should be able to showcase a portfolio of websites or web apps that they have developed.BA/BS degree in information science, computer science,…"
20,Sr. Front End Developer,"Amazon Web Services, Inc.",,"8+ years of professional front end development around the user experience.Providing deep software development knowledge with respect to front end architecture,…"
21,Software Engineer - Front-End,Pearson,,"Develop front-end components with exceedingly clean, semantic markup, using technologies including HTML, CSS, Bootstrap, Javascript, jQuery and other tools."
22,Senior Front End Developer with Drupal Experience,Makers365,,"Senior-level Front End development expertise and portfolio.Some Drupal 7 and 8 projects under your belt.Skilled use of Composer, Drush, Git, Jira, and Agile."
23,"Front End Software Engineer- Raleigh, NC",Imperva,,"We are a cross-functional team that is responsible for delivering product improvements, testing, and maintaining our CI/CD pipelines."
24,Web Developer Intern,Kompleks Creative,,"The intern web developer will utilize this curiosity to explore integrations with APIs, custom theme development and JavaScript plug-ins."
25,WEB DEVELOPER INTERN,Sports Endeavors Inc.,,"Have flexibility to work across architecture - building both front end and backend ·.Work across the entire system architecture, from backend to front end, to…"
26,Senior Front-end Software Engineer,Collage.com,,"Write and maintain front-end JavaScript code as part of a mobile-first web application, including UI components and state management logic."
27,Web Developer for Medical Computing Applications,Kitware,,"Back-end service programming in Python.At Kitware, we concentrate on advancing the frontiers of understanding by developing innovative open source software…"
28,Senior Web Developer - PHP,ProVantage Corporate Solutions,"$60,000 - $90,000 a year","ProVantage Corporate Solutions is a Merchandising Service Organization (MSO) who specializes in merchandising services such as truck unload, new store set up of…"
29,"Junior Angular, CSS/HTML5, ASP .NET, C#, SQL, DNN Developer...","Rock Solid Software, LLC",,Design and develop front end Microsoft ASP .Design and develop front end Angular web logic under the direction of our Senior Developers.
30,Front-End Developer,Infosys Limited,,"You will play an important role in creating the high level design artifacts.You will also deliver high quality code deliverables for a module, lead validation…"
31,Front-End Developers,CareNexis,,"As a front-end developer, you will be responsible for building and maintaining the various user experiences that CareNexis operates."
32,Senior Software Developer – Front End,DroneInsurance.com,"$70,000 - $95,000 a year",We’re looking for someone with a passion for programming and for writing beautiful code to work on projects that connect brands to insurance carriers in order…
33,Senior Front-End Developer,Chainyard,,"We build proof of concepts to test our ideas, making sure we deliver modern, frictionless experiences using the latest tools like React, ES6, and SASS."
34,Front-End Developer/Designer,CData Software,,"The candidate should be able to showcase a portfolio of websites or web apps that they have developed.BA/BS degree in information science, computer science,…"
35,Sr. Front End Developer,"Amazon Web Services, Inc.",,"8+ years of professional front end development around the user experience.Providing deep software development knowledge with respect to front end architecture,…"
36,Software Engineer - Front-End,Pearson,,"Develop front-end components with exceedingly clean, semantic markup, using technologies including HTML, CSS, Bootstrap, Javascript, jQuery and other tools."
37,Senior Front End Developer with Drupal Experience,Makers365,,"Senior-level Front End development expertise and portfolio.Some Drupal 7 and 8 projects under your belt.Skilled use of Composer, Drush, Git, Jira, and Agile."
38,"Front End Software Engineer- Raleigh, NC",Imperva,,"We are a cross-functional team that is responsible for delivering product improvements, testing, and maintaining our CI/CD pipelines."
39,Web Developer Intern,Kompleks Creative,,"The intern web developer will utilize this curiosity to explore integrations with APIs, custom theme development and JavaScript plug-ins."
40,WEB DEVELOPER INTERN,Sports Endeavors Inc.,,"Have flexibility to work across architecture - building both front end and backend ·.Work across the entire system architecture, from backend to front end, to…"
41,Senior Front-end Software Engineer,Collage.com,,"Write and maintain front-end JavaScript code as part of a mobile-first web application, including UI components and state management logic."
42,Web Developer for Medical Computing Applications,Kitware,,"Back-end service programming in Python.At Kitware, we concentrate on advancing the frontiers of understanding by developing innovative open source software…"
43,Senior Web Developer - PHP,ProVantage Corporate Solutions,"$60,000 - $90,000 a year","ProVantage Corporate Solutions is a Merchandising Service Organization (MSO) who specializes in merchandising services such as truck unload, new store set up of…"
44,"Junior Angular, CSS/HTML5, ASP .NET, C#, SQL, DNN Developer...","Rock Solid Software, LLC",,Design and develop front end Microsoft ASP .Design and develop front end Angular web logic under the direction of our Senior Developers.
45,Front-End Developer,Infosys Limited,,"You will play an important role in creating the high level design artifacts.You will also deliver high quality code deliverables for a module, lead validation…"
46,Front-End Developers,CareNexis,,"As a front-end developer, you will be responsible for building and maintaining the various user experiences that CareNexis operates."
47,Senior Software Developer – Front End,DroneInsurance.com,"$70,000 - $95,000 a year",We’re looking for someone with a passion for programming and for writing beautiful code to work on projects that connect brands to insurance carriers in order…
48,Senior Front-End Developer,Chainyard,,"We build proof of concepts to test our ideas, making sure we deliver modern, frictionless experiences using the latest tools like React, ES6, and SASS."
49,Front-End Developer/Designer,CData Software,,"The candidate should be able to showcase a portfolio of websites or web apps that they have developed.BA/BS degree in information science, computer science,…"
50,Sr. Front End Developer,"Amazon Web Services, Inc.",,"8+ years of professional front end development around the user experience.Providing deep software development knowledge with respect to front end architecture,…"
51,Software Engineer - Front-End,Pearson,,"Develop front-end components with exceedingly clean, semantic markup, using technologies including HTML, CSS, Bootstrap, Javascript, jQuery and other tools."
52,Senior Front End Developer with Drupal Experience,Makers365,,"Senior-level Front End development expertise and portfolio.Some Drupal 7 and 8 projects under your belt.Skilled use of Composer, Drush, Git, Jira, and Agile."
53,"Front End Software Engineer- Raleigh, NC",Imperva,,"We are a cross-functional team that is responsible for delivering product improvements, testing, and maintaining our CI/CD pipelines."
54,Web Developer Intern,Kompleks Creative,,"The intern web developer will utilize this curiosity to explore integrations with APIs, custom theme development and JavaScript plug-ins."
55,WEB DEVELOPER INTERN,Sports Endeavors Inc.,,"Have flexibility to work across architecture - building both front end and backend ·.Work across the entire system architecture, from backend to front end, to…"
56,Senior Front-end Software Engineer,Collage.com,,"Write and maintain front-end JavaScript code as part of a mobile-first web application, including UI components and state management logic."
57,Web Developer for Medical Computing Applications,Kitware,,"Back-end service programming in Python.At Kitware, we concentrate on advancing the frontiers of understanding by developing innovative open source software…"
58,Senior Web Developer - PHP,ProVantage Corporate Solutions,"$60,000 - $90,000 a year","ProVantage Corporate Solutions is a Merchandising Service Organization (MSO) who specializes in merchandising services such as truck unload, new store set up of…"
59,"Junior Angular, CSS/HTML5, ASP .NET, C#, SQL, DNN Developer...","Rock Solid Software, LLC",,Design and develop front end Microsoft ASP .Design and develop front end Angular web logic under the direction of our Senior Developers.
